"Abbreviation","Meaning"
"LUL","left upper lobe (of lung)"
"LUQ","left upper quadrant (of abdomen)"
"LUS","lower uterine segment"
"LUTS","lower urinary tract symptoms"
"LV","left ventricle"
"LVAD","left ventricular assist device"
"LVEDP","left ventricular end diastolic pressure"
"LVEF","left ventricular ejection fraction"
"LVF","left ventricular failure"
"LVH","left ventricular hypertrophy"
"LVOT","left ventricular outflow tract"
"LVP","Large volume paracentesis"
"LWBS","left without being seen"
"Lx of ch","laxative of choice"
"Ly","lymphocytes"
"lytes","electrolytes"
"M","murmur (heart murmur or heart attack that can cause death)"
"MACE","Major Adverse Cardiovascular Events"
"MAC","Mycobacterium avium complex"
"MAE","moves all extremities"
"MAHA","microangiopathic hemolytic anemia"
"MAL","midaxillary line"
"MALT","mucosa-associated lymphoid tissue"
"MANOS","minilaparoscopy assisted natural orifice surgery"
"MAOI","monoamine oxidase inhibitor"
"Mf","macrophage"
"MAP","mean arterial pressure"
"MAR","Medication Administration Record"
"MARSA","methicillin- and aminoglycoside-resistant Staphylococcus aureus"
"MAS","Morgagni–Adams–Stokes syndrome  meconium aspiration syndrome"
"MAST","Michigan alcohol screening test"
"MAT","multifocal atrial tachycardia  microscopic agglutination test"
"MBSS","modified barium swallow study"
"MC","metacarpal bone"
"MCA","mucinous cystadenoma"
"MCAT","Medical College Admission Test"
"MCC","MotorCycle Collision, Motor Cycle Crash"
"MCD","minimal change diseaseharmful can cause cancer"
"MCP","metacarpophalangeal joint"
"MCHC","mean corpuscular hemoglobin concentration"
"MCH","mean cell hemoglobin; mean corpuscular hemoglobin"
"MC&S","microscopy, culture, and sensitivity (the investigation steps in processing microbiology samples)"
"MCTD","mixed connective tissue disease"
"MCV","mean corpuscular volume"
"MDCT","multidetector row computerized tomography"
"MDD","major depressive disorder"
"MDE","major depressive episode"
"MDI","metered dose inhaler"
"MDS","myelodysplastic syndrome"
"ME","UK: Myalgic Encephalopathy ( = Chronic Fatigue Syndrome or “CFS”)"
"M/E","microscopic examination"
"MEC","Moderate emetic chemotherapy"
"MEDLINE","Medical Literature Analysis and Retrieval System Online (U.S. National Library of Medicine)"
"MELD","Model for End-Stage Liver Disease"
"MEN","multiple endocrine neoplasia"
"MeSH","Medical Subject Headings (U.S. National Library of Medicine)"
"MET","metabolic equivalent"
"met","metastasis (pronounced like the word met; plural mets)"
"MFM","maternal and fetal medicine"
"Mg","magnesium"
"MG","myasthenia gravis"
"MGN","membranous glomerulonephritis"
"MGPE","milligrams of phenytoin equivalents"
"MgSO4","magnesium sulfate (Do not use this abbreviation. Write out the name. Per the do-not-use list.)"
"MGUS","monoclonal gammopathy of undetermined significance (unknown or uncertain may be substituted for undetermined)"
"MHA-TP","microhemagglutination assay for T. pallidum"
"MHW","Mental Health Worker"
"MI","myocardial infarction"
"MIC","minimum inhibitory concentration"
"MICA","mental illness and chemical abuse;  mentally ill chemical abuser"
"MICU","mobile intensive care unit / medical intensive care unit"
"MIF","Müllerian inhibitory factor"
"MIP","Maximum intensity projection, a technique used to enhance CT, MRI, MRA, and PET images"
"MIS","Minimally Invasive Surgery  Mullerian Inhibiting Substance"
"MLC","mixed lymphocyte culture"
"MLE","midline episiotomy"
"MM","myeloid metaplasia  middle meningeal  multiple myeloma"
"M&M","morbidity and mortality"
"MMFR","midmaximal flow rate"
"MMI","maximum medical improvement"
"MMK","Marshall–Marchetti–Kranz procedure"
"MMM","moist mucus membranesMyelofibrosis with Myeloid Metaplasia"
"MMP","medical marijuana patientMedical Monitoring Project (of the US CDC)"
"MMPI","Minnesota Multiphasic Personality Inventory"
"MMR","measles, mumps, and rubella combined vaccination  mismatch repair"
"MMR-D","mismatch repair deficiency syndrome"
"MMSE","mini-mental state examination"
"MMT","malignant mesenchymal tumor  Mixed Mullerian Tumor"
"MN","membranous nephropathy"
"MND","motor neurone disease, also known as amyotrophic lateral sclerosis (ALS), Lou Gehrig's disease or Charcot disease"
"MOB","mother of baby"
"mod","moderate; modified"
"MODY","maturity onset diabetes of the young"
"Mo","monocytes"
"MoM","multiples of the median"
"MOM","milk of magnesia"
"Mono-Di","monochorionic-diamniotic twins"
"Mono-Mono","monochorionic-monoamniotic twins"
"MOPP","mechlorethamine, vincristine, procarbazine, and prednisone in combination (older treatment for Hodgkin's lymphoma)"
"MPA","medroxyprogesterone acetate"
"MPD","Main pancreatic duct"
"MPD(s)","myeloproliferative disease(s)"
"MPGN","membranoproliferative glomerulonephritis"
"MPO","myeloperoxidase"
"MPT","multi-professional team"
"MPV","mean platelet volume"
"MR","medical representative mental retardation mitral regurgitation  modified release (compare time release technology (medicine))
menstrual regulation (unsafe abortion)"
"MRA","magnetic resonance angiography"
"MRCP","magnetic resonance cholangiopancreatography"
"MRG","murmurs, rubs, and gallops (see heart sounds)"
"MRI","magnetic resonance imaging"
"MRSA","methicillin-resistant Staphylococcus aureus"
"MS","medical student (MS-1, MS-2, MS-3, MS-4)  mental status (see mental status examination) mitral stenosis multiple sclerosis"
"MS-AFP","maternal serum alpha-fetoprotein"
"MSDU","medical surgical day unit"
"MSE","mental status examination"
"MSH","melanocyte-stimulating hormone"
"MSK","medullary sponge kidney  UK: Musculoskeletal"
"MSM","men who have sex with men"
"MSO4","morphine sulfate (Do not use this abbreviation. Write out the name. Per the do-not-use list.)"
"MSOF","multisystem organ failure"
"MSSA","methicillin-sensitive Staphylococcus aureus (contrast with MRSA)"
"MSU","midstream urine sample (used in testing for presence of urinary tract infections)  monosodium urate"
"MSUD","maple syrup urine disease"
"MT","metatarsal bone"
"MTBI","mild traumatic brain injury"
"MTP","metatarsalphalangeal"
"MTX","methotrexate"
"MUGA","Multiple gated acquisition scan"
"MUSE","medicated urethral system for erections"
"MVA","motor vehicle accident"
"MVC","motor vehicle crash"
"MVI","Multivitamin"
"MVo2","mixed venous oxygen concentration"
"MVP","mitral valve prolapse"
"MVPS","mitral valve prolapse syndrome"
"MVR","mitral valve replacement"
"Nf","Neutrophil"
"Na","sodium (from Latin natrium)"
,"negative appendectomy"
"NAAT","nuclear acid amplification test"
"NABS","normoactive bowel sounds"
"NAC","n-acetyl cysteine"
"NAD","no abnormality detected  no apparent distress  (and many variations of the above)"
"NAD+","nicotinamide adenine dinucleotide"
"NAFLD","Non-alcoholic fatty liver disease"
"NAS","no added salt"
"NASH","Non-alcoholic steatohepatitis"
"NB","newborn (infant)  note well (please pay attention) (from Latin nota bene)"
"NBN","newborn nursery"
"NBIA","neurodegeneration with brain iron accumulation"
"NBT","nitroblue tetrazolium"
"NBTE","nonbacterial thrombotic endocarditis"
"NC","nerve action potential nasal cannula"
"NCAT","Normocephalic, atraumatic; also written NC/AT"
"NCC","noncompaction cardiomyopathy"
"NCEP","National Cholesterol Education Program"
"NCS","nerve conduction study"
"NCT","nerve conduction test, aka nerve conduction study"
"NCV","nerve conduction velocity (see nerve conduction study)"
"ND","(examination) not done"
"NDI","nephrogenic diabetes insipidus"
"NE","norepinephrine"
"Ne","neutrophil granulocytes"
"NEAP","Net Endogenous Acid Production"
"NEC","not elsewhere classified  necrotizing enterocolitis"
"NED","No evidence of disease"
"Neg","negative"
"Neo","neoplasm"
"NES","not elsewhere specified"
"NFR","not for resuscitation"
"NG","nasogastric"
"NGT  NG tube","nasogastric tube"
"NGTD","negative to date / no growth to date"
"NGU","nongonococcal urethritis"
"NH","nursing home"
"NHL","non-Hodgkin lymphoma"
"NHW","non-healing wound"
"NICMPNICM","non-ischemic cardiomyopathy"
"NICU","neonatal intensive care unit"
"NIDDM","non-insulin-dependent diabetes mellitus"
"NIF","Negative inspiratory force"
"NIH","National Institutes of Health"
"NIPPV","Nasal intermittent positive pressure ventilation"
"NK  NK cells","natural killer cells"
"NKA","no known allergies"
"NKDA","no known drug allergies"
"Nl","normal"
"NLP","no light perception (highest degree of blindness)"
"NM","nuclear medicine"
"NMR","nuclear magnetic resonance"
"NNH","number needed to harm"
"NNT","number needed to treat"
"NO","nitric oxide"
"No.","number"
"NOF","neck of femur fracture (refers to hip fracture)"
"NOMI","nonocclusive mesenteric ischemia"
"Non rep.","do not repeat"
"NOS","nitric oxide synthase;  not otherwise specified"
"NPA","nasal pharyngeal aspirate"
"NPH","normal pressure hydrocephalus"
"Npl","neoplasm"
"NP","Nurse Practitioner"
"NPC","nasopharyngeal carcinoma"
"NPO","nil per os (nothing by mouth)"
"NPPV","noninvasive positive pressure ventilation"
"NPT","neuropsychiatric testing"
"NPTAC","no previous tracing available for comparison"
"NPV","negative predictive value"
"NRB","non-rebreather mask"
"NRBC","nucleated red blood cells"
"NREM","non–rapid eye movement"
"n.s.","not significant"
"NS","normal saline"
"NSA","no significant abnormality"
"NSAID","nonsteroidal antiinflammatory drug"
"NSBB","Non-selective beta blocker"
"NSCC","Non-squamous-cell carcinoma"
"NSCLC","non–small cell lung carcinoma"
"NSD","normal spontaneous delivery (see childbirth)"
"NSE","neurospecific enolase"
"NSIP","Non-specific interstitial pneumonia"
"NSR","normal sinus rhythm"
"NST","non-stress test (see cardiotocograph)"
"NSTEMI","non-ST-elevation myocardial infarction"
"NSU","nonspecific urethritis"
"NSVD","normal spontaneous vaginal delivery"
"NT","not tested  nuchal translucency"
"NTD","neural tube defect"
"NTG","nitroglycerin"
"n/t","numbness and tingling"
"NTP","Nortriptyline"
"NTT","nasotracheal tube (see intubation)"
"NTX","N-telopeptide"
"nu","in each nostril"
"N&V  n/v","nausea and vomiting"
"NVD","normal vaginal delivery (see childbirth); nausea, vomiting, and diarrhea"
"NVDC","nausea, vomiting, diarrhea, and constipation"
"NWB","Non-weight-bearing"
"NYD","Not yet diagnosed"
"NYHA","New York Heart Association"
"o","Nothing  [o—letter o with overbar]"
"O2","oxygen"
"OA","osteoarthritis"
"OAB","Overactive bladder"
"OAF","osteoclast activating factor"
"OB","Occult blood"
"OB  OB-GYN  ob-gyne","obstetrics and gynecology"
"Obl","oblique"
"OBS","organic brain syndrome"
"Occ","occasional"
"OCD","obsessive-compulsive disorder"
"OCG","oral cholecystogram"
"OCNA","Orthopedic Clinics of North America"
"OCP","oral contraceptive pill"
"OCT","optical coherence tomography"
"OD","right eye (from Latin oculus dexter) overdose occupational disease"
"od","every day, usually regarded as once daily (from Latin omni die). Generally written in lowercase."
"ODC","ornithine decarboxylase"
"OE","otitis externa"
"O/E","on examination"
"OGTT","oral glucose tolerance test"
"OHL","oral hairy leukoplakia"
"OHS","Obesity hypoventilation syndrome"
"OHT","Orthotopic heart transplantation"
"Oint","ointment"
"OM","otitis media"
"om","every morning (from Latin omni mane). Generally written in lowercase."
"OME","otitis media with effusion (fluid in the inner ear without other symptoms)"
"on","every night (from Latin omni nocte). Generally written in lowercase."
"O/N","overnight"
"OOB","out of bed"
"OP","outpatient department Osteoporosis"
"O&P","ova and parasites"
"OPD","outpatient department"
"OPPT","oriented to person, place, and time"
"OPV","outpatient visit"
"OR","operating room (aka operating theatre)  odds ratio"
"ORIF","open reduction internal fixation"
"ORSA","oxacillin-resistant staphylococcus aureus"
"ORT","oral rehydration therapy"
"OS","left eye (from Latin oculus sinister) orthopedic surgery  overall survival"
"OSA","obstructive sleep apnea"
"OSH","outside hospital"
"Osm","osmolarity"
"Osteo","osteomyelitis"
"OT","occupational therapy"
"OTC","over-the-counter drug"
"OTD","out the door (discharged)"
"OTPP","oriented to time, place, and person"
"OTTR","Organ Transplant Tracking Record"
"OU","both eyes (from Latin oculi uterque)"
"OV","office visit (see ambulatory care)"
"oz","ounce"
"p","after (from Latin post)  [letter p with a bar over it]"
"P","parturition (total number of live births) phosphorus pulse  post"
"POSM","plasma osmolality"
"PA","posterior–anterior, posteroanterior pulmonary artery physician assistant psoriatic arthritis primary aldosteronism"
"P&A","percussion and auscultation phenol and alcohol matrixectomy"
"PAC","premature atrial contraction pulmonary artery catheter, pulmonary artery catheterisation"
"PACU","Post-Anesthesia Care Unit"
"PAD","peripheral artery disease (aka peripheral artery occlusive disease) postadmission day (e.g. PAD 6 equals the sixth day of being in hospital)  peripheral airspace disease    Passively Acquired anti-D"
"PAF","platelet activating factor paroxysmal atrial fibrillation (meaning intermittent AF)"
"PAH","pulmonary arterial hypertension  phenylalanine hydroxylase"
"PAI-1","plasminogen activator inhibitor 1"
"PAL","posterior axillary line"
"PALS","Pediatric Advanced Life Support (training program)"
"PAN","polyarteritis nodosa"
"PAO","peak acid output"
"PAOD","peripheral artery occlusive disease"
"PAP","Papanicolaou stain positive airway pressure pulmonary artery pressure (see pulmonary hypertension) pulmonary alveolar proteinosis"
"Pap","Papanicolaou test (pap smear)"
"PAPP-A","pregnancy-associated plasma protein A"
"PARA I","indicating a woman with one child (partus = birth)"
"PARA II","indicating a woman with two children (partus = birth)"
"PASP","Pulmonary artery systolic pressure"
"PAT","paroxysmal atrial tachycardia"
"PBC","primary biliary cirrhosis"
"PBX","probiotics"
"PBF","peripheral blood film"
"p.c.","after food (from Latin post cibum)  after meals"
"PCA","patient-controlled analgesia"
"PCa","prostate cancer"
"PCD","postconcussional disorder primary ciliary dyskinesia"
"PCI","percutaneous coronary intervention"
"PCIOL","posterior chamber intraocular lens"
"PCL","posterior cruciate ligament"
"PCN","penicillin"
"PCNSL","primary CNS (central nervous system) lymphoma"
"PCO","polycystic ovary (see polycystic ovarian syndrome)"
"PCOS","polycystic ovarian syndrome"
"PCP","Pneumocystis carinii pneumonia (now called Pneumocystis pneumonia) primary care physician (also called primary care provider)"
"PCR","patient care report polymerase chain reaction"
"PCS","post-concussion syndrome"
"PCT","progesterone challenge test"
"PCV","packed cell volume (see hematocrit) polycythemia vera"
"PCWP","pulmonary capillary wedge pressure"
"PD","Parkinson's disease peritoneal dialysis  physical diagnosis  personality disorder  program director"
"PDA","patent ductus arteriosus posterior descending artery"
"PDD","premenstrual dysphoric disorder"
"PDE","phosphodiesterase"
"PDGF","platelet-derived growth factor"
"PDR","Physicians' Desk Reference[(Profilarative Diabetic Retinopathy)]"
"PDT","photodynamic therapy"
"PDVT","postoperative deep-vein thrombosis"
"PE","pulmonary embolism pre-eclampsia physical examination"
"PEA","pulseless electrical activity"
"PEARL","pupils equal and reactive to light"
"PEB","cisplatin, etoposide, and bleomycin (chemotherapy regimen)"
"PEEP","positive end expiratory pressure"
"PEF","peak expiratory flow"
"PEFR","peak expiratory flow rate"
"PEG","percutaneous endoscopic gastrostomy"
"PEM","protein/energy malnutrition (aka Kwashiorkor)"
"pen","penicillin (Best practice is to avoid drug name abbreviations)"
"PEP","Post-exposure prophylaxis"
"PERM","Progressive Encephalomyelitis with Rigidity and Myoclonus"
"PERRL","pupils equal, round, reactive to light"
"PERLA","pupils equal and reactive to light and accommodation"
"PERRLA","pupils equal, round, reactive to light and accommodation"
"Per Vag","per vagina"
"PET","positron-emission tomography (cerebral metabolic scan)"
"PFO","patent foramen ovale"
"PFT","pulmonary function test (see spirometry)"
"PGCS","Paediatric Glasgow Coma Scale"
"PH","Pulmonary hypertension Past history (see also medical history)"
"PHx","past history (see also medical history)"
"PHN","postherpetic neuralgia"
"PHP","Partial Hospitalization Program"
"PHQ","Patient Health Questionnaire"
"PHTLS","prehospital trauma life support"
"PI","present illness"
"PICC","peripherally inserted central catheter"
"PID","pelvic inflammatory disease prolapsed intervertibral disc"
"PIG-A","phosphatidyl inositol glycan A"
"PIH","pregnancy induced hypertension"
"PIP","proximal interphalangeal joint"
"PJS","Peutz-Jeghers syndrome"
"PK","protein kinase"
"PKA","protein kinase A"
"PKD","polycystic kidney disease"
"PKP","Penetrating Keratoplasty"
"PKU","phenylketonuria (PKU card—see Guthrie test)"
"PLAT","tissue plasminogen activator"
"PLIF","posterior lumbar interbody fusion (a type of spinal fusion)"
"PLT","platelets"
"PM","post meridiem (in the afternoon)"
"PMB","post-menopausal bleeding (bleeding after menopause)"
"PMD","primary medical doctor"
"PMDD","premenstrual dysphoric disorder"
"PMH","past medical history (see also medical history)  perimesencephalic subarachnoid hemorrhage"
"PMI","point of maximal impulse or apical beat  point of maximal intensity"
"PML","polyoma virus  progressive multifocal leukoencephalopathy"
"PMP","Pseudomyxoma peritonei"
"PMN","polymorphonuclear leukocytes, that is, neutrophils"
"PMR","percutaneous myocardial revascularization polymyalgia rheumatica  proportionate mortality rate"
"PM&R","physical medicine and rehabilitation"
"PMS","premenstrual syndrome"
"PNA","pneumonia"
"PNA","postnatal age"
"PND","paroxysmal nocturnal dyspnea postnasal drip"
"PNET","primitive neuroectodermal tumor"
"PNH","paroxysmal nocturnal hemoglobinuria"
"PNM","perinatal mortality"
"PNV","Prenatal vitamin"
"PO","by mouth, that is, orally (from Latin per os)"
"POA","(Health Care) Power of Attorney"
"POC","postoperative care  products of conception  Plan of Care"
"POD","postoperative days"
"POLST","Physician Orders for Life-Sustaining Treatment"
"poly","polymorphonuclear cells, that is, neutrophils"
"PONV","postoperative nausea and vomiting"
"POP","pain on palpation, Plaster of Paris"
"Post","posterior (see anatomical terms of location)"
"POT","plan of treatment"
"POX","peroxidase"
"PP","pulse pressure  postpartum, that is, postnatal postprandial"
"PPCS","prolonged post-concussion syndrome"
"PPD","packs per day (cigarettes)  postpartum depression, that is, postnatal depression  purified protein derivative or Mantoux test, for tuberculosis testing"
"PPF","posterior pharyngeal flap"
"PPH","postpartum haemorrhage primary pulmonary hypertension procedure for prolapse and hemorrhoids"
"PPI","proton pump inhibitor"
"PPROM","preterm premature rupture of membranes"
"PPS","post-polio syndrome"
"Ppt","precipitate  precipitating"
"PPTCT","prevention of parent-to-child transmission [of HIV] (government of India initiative)"
"PPTL","postpartum tubal ligation"
"PPTP","Pediatric preclinical testing program"
"PPV","positive predictive value
positive pressure ventilation"
"PPx","prophylaxis"
"PR","prothrombin ratio"
"p.r.","per rectum (as noun: rectal examination)"
"PRA","plasma renin activity"
"PRBC  PRBCs","packed red blood cells"
"PREA","Pediatric Research Equity Act"
"Preme","premature infant (see premature birth)"
"Prep
PrEP","preparation
pre-exposure prophylaxis"
"PRES","Posterior reversible encephalopathy syndrome"
"PRIND","prolonged reversible ischemic neurologic deficit"
"PRL","prolactin"
"prn  PRN","as necessary (from Latin pro re nata) (if used in chronic pain control, sometimes disparagingly termed ""pain relief nil"")  as needed"
"Prog","prognosis"
"PROM","premature rupture of membranes"
"PRP","panretinal photocoagulation progressive rubella panencephalitis"
"PRV","polycythemia rubra vera (see polycythemia vera)"
"PSA","prostate-specific antigen"
"PBSO","Partial small bowel obstruction"
"PSC","Primary sclerosing cholangitis"
"PSGN","poststreptococcal glomerulonephritis"
"PSH","Paroxysmal sympathetic hyperactivity  Past surgical history  psychosocial history Past medical history (see also medical history)"
"PSI","Pneumonia severity index"
"PSP","phenylsulphtalein"
"PSS","progressive systemic sclerosis (see scleroderma)"
"PSVT","paroxysmal supraventricular tachycardia"
"PT","prothrombin time physical therapy (physiotherapy)"
"Pt.","patient (from Latin patiens, meaning “one who endures” or “one who suffers”)"
"PTA","percutaneous transluminal angioplasty post-traumatic amnesia  prior to admission"
"PTB","pulmonary tuberculosis"
"PTC","percutaneous transhepatic cholangiography"
"PTCA","percutaneous transluminal coronary angioplasty"
"PTD","prior to discharge  preterm delivery"
"PTH","parathyroid hormone"
"PTHC","percutaneous transhepatic cholangiography"
"PTL","preterm labor"
"PTSD","posttraumatic stress disorder"
"PTSS","posttraumatic stress syndrome (see posttraumatic stress disorder)"
"PTT","partial thromboplastin time"
"PTU","propylthiouracil"
"PTx","pneumothorax"
"PUS","palindromic units"
"PUBS","percutaneous umbilical blood sample"
"PUD","peptic ulcer disease"
"PUO","pyrexia of unknown origin"
"PUVA","psoralen UV A (photochemical ultraviolet light A waves)"
"p.v.","per vagina (as noun: vaginal examination with manual examination and speculum inspection)"
"PV","polycythemia vera"
"PVC (VPC)","premature ventricular contraction"
"PVD","peripheral vascular disease"
"PVFS","post-viral fatigue syndrome"
"PVI","Peripheral Vascular Insufficiency  Pulmonary Vein Isolation"
"PVOD","Pulmonary venoocclusive disease"
"PVR","pulmonary vascular resistancePostvoid residual urine volume"
"PVS","persistent vegetative state pulmonary valve stenosis Plummer-Vinson syndrome"
"PWD","Pink, warm, and dry (skin assessment)"
"PWP","pulmonary wedge pressure"
"Px  px","physical examination prognosis patient"
"P-Y","pack-years (years of smoking multiplied by average number of packs, or fraction thereof, per day)"
"PZA","pyrazinamide"
"q","each, every (from Latin quaque)"
"q2wk","once every 2 weeks"
"q6h  q6°","once every 6 hours"
"q.a.d.","every other day (from Latin quaque altera die)"
"QALY","quality-adjusted life year"
"q.AM","every day before noon (from Latin quaque die ante meridiem)"
"q.d.","each day (from Latin quaque die)  (deprecated; use ""daily"" instead. See the do-not-use list)"
"q.d.s.","four times each day (from Latin quater die sumendus)"
"q.h.","each hour (from Latin quaque hora)"
"q.h.s.","every bedtime (from Latin quaque hora somni)"
"q.i.d.","four times each day (from Latin quater in die)  (not deprecated, but consider using ""four times a day"" instead. See the do-not-use list)"
"QIDS","Quick Inventory of Depressive Symptoms"
"q.l.","as much as you like (from Latin quantum libet)"
"q.m.t.","every month"
"q.n.","every night"
"QNS  q.n.s.","quantity not sufficient"
"q.o.d.","every other day (from Latin quaque altera die)  (deprecated; use ""every other day"" instead. See the do-not-use list)"
"QOF","Quality and Outcomes Framework (system for payment of GPs in the UK National Health Service)"
"q.o.h.","every other hour"
"q.s.","as much as suffices (from Latin quantum satis or quantum sufficit)"
"qt","quart"
"q.v.","which see (from Latin quod vide);  as much as you please (from Latin quantum vis)"
"q.wk. also qw","weekly (once a week)"
"R","respiration, (right)"
"RA","refractory anemia rheumatoid arthritis right atrium  room air"
"RAD","reflex anal dilatation right axis deviation reactive airway disease  radiation absorbed dose reactive attachment disorder"
"Rad hys","radical hysterectomy"
"RAE","right atrial enlargement"
"RAI","radioactive iodine"
"RAIU","thyroid reactive iodine uptake"
"RAPD","relative afferent pupillary defect"
"RAS","renal artery stenosis"
"RATLH","Robotic assisted total laparoscopic hysterectomy"
"RATVH","Radical Total Vaginal Hysterectomy"
"RBBB","right bundle branch block"
"RBC","red blood cells, red blood count"
"RBE","relative biologic equivalent"
"RBLM","recurrent benign lymphocytic meningitis"
"RCA","right coronary artery"
"RCC","renal cell carcinoma"
"RCM","restrictive cardiomyopathy  right costal margin"
"RCR","rotator cuff repair"
"RCT","randomized controlled trial"
"RD","retinal detachment"
"RDS","respiratory distress syndrome (see also infant respiratory distress syndrome)"
"RDW","red cell distribution width"
"REI","Reproductive Endocrinology and Infertility"
"REM","rapid eye movement  roentgen equivalent man"
"RF","rheumatoid factor rheumatic fever"
"RFA","Radiofrequency ablation"
"RFLP","restriction fragment length polymorphism"
"RFT","renal function test"
"r/g/m","rubs/gallops/murmurs (see heart sounds)"
"Rh","rhesus factor"
"Rhabdo","Rhabdomyolysis"
"RHC","right heart catheterization"
"RHD","rheumatoid heart disease"
"RhF","rheumatoid factor"
"RIA","radioimmunoassay"
"RIBA","radioimmunoblotting assay"
"RICE","rest, ice, compression, and elevation (treatment for a soft tissue injury)"
"RIF","rifampin"
"RIMA","reversible inhibitor of monoamine oxidase A"
"RIND","reversible ischemic neurologic deficit"
"RL","Ringer's lactate (that is, lactated Ringer's solution)"
"RLE","right lower extremity"
"RLL","right lower lobe (of lung)"
"RLN","recurrent laryngeal nerve;  regional lymph node"
"RLQ","right lower quadrant (of abdomen)"
"R&M","Routine + microscopic (General analysis of urine)"
"RML","right middle lobe (of lung)"
"RMS","rhabdomyosarcoma"
"RMSF","rocky mountain spotted fever"
"RNA","ribonucleic acid"
"RNP","ribonucleoprotein"
"RNV","radionuclide ventriculography"
"RNY","Roux-en-Y anastomosis"
"R/O","rule out"
"ROA","right occipital anterior (see childbirth)"
"ROH","removal of hardware"
"ROM","range of motion  rupture of membranes"
"ROP","right occipital posterior (see childbirth)  retinopathy of prematurity"
"ROS","review of systems"
"ROSC","return of spontaneous circulation"
"RPGN","rapidly progressing glomerulonephritis"
"RPLND","retroperitoneal lymph node dissection"
"RPR","rapid plasma reagin test"
"RR","respiratory rate blood pressure measured with a specific sphygmomanometer  relative risk"
"RRP","Recurrent Respiratory Papillomatosis"
"RRR","regular rate and rhythm (see pulse)"
"r/r/w","rales, rhonchi, wheezes (lung sounds)"
"RS cell","Reed–Sternberg cell"
"RSB","Right sternal border"
"RSI","rapid sequence induction"
"RSV","respiratory syncytial virus"
"R/t","related to"
"RT","radiotherapy respiratory therapy reverse transcriptase"
"RT-PCR","reverse transcriptase polymerase chain reaction"
"RTA","renal tubular acidosis"
"RTC","return to clinic (appointment for outpatient for next medical examination)"
"RTS","Revised Trauma Score"
"RTV","ritonavir"
"RUE","right upper extremity"
"RUL","right upper lobe (of lung)"
"RUQ","right upper quadrant (see also regions of the abdomen)"
"RUTI","recurrent urinary tract infection"
"RV","residual volume right ventricle"
"RVAD","right ventricular assist device"
"RVF","right ventricular failure, or rectovaginal fistula"
"RVH","right ventricular hypertrophy"
"RVR","rapid ventricular rate (tachycardia)"
"RVSP","right ventricular systolic pressure"
"RVT","renal vein thrombosis"
"Rx or <U+211E> or Rx","(R with crossed tail) medical prescription, prescription drug, or remedy"
"RXN","reaction"
"s","without (s with a bar over it) (from Latin sine)"
"S","sacrum"
"Sx","symptoms surgery (though deemed by some as inappropriate)"
"S1","first heart sound"
"S2","second heart sound"
"S3","third heart sound"
"S4","fourth heart sound"
"S&O","salpingo-oophorectomy"
"SA","sinoatrial node"
"SAAG","serum–ascites albumin gradient"
"SAB","staphylococcal bacteremia  spontaneous abortion (that is, miscarriage)"
"SAD","seasonal affective disorder subacromial decompression"
"SAH","subarachnoid hemorrhage"
"SAM","systolic anterior motion of the mitral valve"
"SAN","sinoatrial node"
"SAPS II","simplified acute physiology score"
"SAPS III","simplified acute physiology score"
"SAR","seasonal allergic rhinitissub-acute rehabilitation facility"
"Sarc","sarcoidosis"
"SARS","severe acute respiratory syndrome"
"SB","small bowel (see small intestine)"
"SBE","subacute bacterial endocarditis"
"SBFT","small bowel follow through"
"SBMA","spinal and bulbar muscular atrophy"
"SBO","small bowel obstruction"
"SBP","systolic blood pressure spontaneous bacterial peritonitis"
"SBRT","split beam radiation therapy"
"SC","Spinal Cord or subcutaneous (from Latin subcutis)"
"SCA","spinocerebellar ataxia"
"SCAT","sex cord tumor with annular tubes"
"SCC","squamous cell carcinoma"
"SCD","sequential compression device sickle-cell disease  sudden cardiac death"
"SCI","spinal cord injury"
"SCID","severe combined immunodeficiency"
"SCIWORA","spinal cord injury without radiographic abnormality"
"SCLC","small cell lung cancer"
"scope","microscope or endoscope"
"SCT","sacrococcygeal tumor"
"SCZ","schizophrenia"
"S.D.","subdermal"
"SD  s","standard deviation"
"SDH","subdural hematoma"
"SDTI","suspected deep tissue injury"
"SE","standard error side effect"
"Sed","sedimentation (rate) (see erythrocyte sedimentation rate)"
"SEE","syphilis elimination effort"
"Segs","segmented cells"
"SEM","standard error of the mean  systolic ejection murmur (see heart murmur)"
"SERM","selective estrogen receptor modulator"
"SERT","serotonin transporter"
"SFA","superficial femoral artery  serum folic acid"
"SGA","small for gestational age"
"SG cath","Swan–Ganz catheter (see pulmonary artery catheter)"
"SG","specific gravity (in urinanalysis)"
"SGB","stellate ganglion block"
"SGOT","serum glutamic oxaloacetic transaminase"
"SGPT","serum glutamic pyruvic transaminase"
"SH  SHx","social history (personal habits, living situation, job)"
"SHBG","sex hormone-binding globulin"
"shob","shortness of breath (see dyspnea)"
"SHPT","secondary hyperparathyroidism"
"SHx","surgical history"
"SI","International System of Units suicidal ideation  seriously ill sacroiliac (joint)"
"SIADH","syndrome of inappropriate antidiuretic hormone"
"SICU","surgical intensive care unit"
"SIBO","small intestinal bacterial overgrowth"
"SID","semel in die meaning once daily. Used only in veterinary medicine."
"SIDS","sudden infant death syndrome"
"SIL","squamous intraepithelial lesion"
"SIMV","synchronized intermittent mechanical ventilation"
